Topic,Category,Level,Course name,Instructor,Course Code,Prerequisite,Prerequisite_2,Prerequisite 2,Prerequisite 2,Prerequsite 3 ,Prerequisite 4,Prerequisite 5,Prerequisite 6,Prerequisite 7,Prerequisite 8,Prerequisite 9,Prerequisite 10,Prerequisite 11,Priority in Website ,CSU Class,Best for (goal),URL Link,Online Link
Python,In-Person Courses / Structured Learning Paths,Advanced, Genomics Data Analysis in Python,Tai Montgomery,DSCI 511,"DSCI 510 , Graduate",None,None,,,,,,,,,,,1,Y,Learning how to analyze complex biological datasets with python,https://catalog.colostate.edu/search/?search=DSCI+511,
C/C++,In-Person Courses / Structured Learning Paths,Intermediate, Introduction to Microcontrollers and IoT,Steve Undy,ECE 251,ECE 102,None,None,,,,,,,,,,,1,Y,Learning how to use C++ Coding language for Internet of Things applications,https://catalog.colostate.edu/search/?search=ECE+251,
C/C++,In-Person Courses / Structured Learning Paths,Advanced, Microcontrollers and C for Internet-of-Things,Steve Undy,ECE 253,ECE 102 / ECE 252,None | None,None,None,,,,,,,,,,2,Y,Practicing C Coding for using micocontrollers and IOT applications,https://catalog.colostate.edu/search/?search=ECE+263,
R,In-Person Courses / Structured Learning Paths,Intermediate, R Programming: Research II,Brooke Anderson,ERHS 576B,Graduate,,,,,,,,,,,,,,Y,,https://catalog.colostate.edu/search/?search=ERHS+576E,
Geospatial,In-Person Courses / Structured Learning Paths,Intermediate, Geospatial Project Design and Analysis,Elizabeth Tulanowski,NR 450,GR 420 / NR 319 / NR 322,any GR coursework,any GR coursework,,,,,,,,,,,1,Y,Learning to develop a GIS based project from start to end,https://catalog.colostate.edu/search/?search=NR+450,
Unix,In-Person Courses / Structured Learning Paths,Intermediate, Linux as a Computational Platform,Erin Nishimura,DSCI 510,Graduate,,,,,,,,,,,,,1,Y,Learning to use linux for installing software and basic computational programming,https://catalog.colostate.edu/search/?search=DSCI+510,
HPC,In-Person Courses / Structured Learning Paths,Beginner, Design Thinking Toolbox: 3D Modeling,Paul Callahan,IDEA 310,IDEA 210,,,,,,,,,,,,,1,Y,Learning how to use 3d modelling software,https://catalog.colostate.edu/search/?search=IDEA+310,
AI,In-Person Courses / Structured Learning Paths,Intermediate, Public Health Data Management Using SAS,Molly Gutilla,PBHL 534,None,,,,,,,,,,,,,2,Y,Learning to use SAS AI software to analyze datasets ,https://catalog.colostate.edu/search/?search=PBHL+534,
C/C++,In-Person Courses / Structured Learning Paths,Beginner, Introduction to C Programming I,Logan Seabolt,CS 156,None,,,,,,,,,,,,,1,Y,Famililarizing yourself with C Coding Concepts,https://catalog.colostate.edu/search/?search=CS+156,
Geospatial,In-Person Courses / Structured Learning Paths,Beginner,Remote Sensing and Image Interpretation,Jessica O'Connell,NR 323,None,,,,,,,,,,,,,1,Y,Learning introductory remote sensing skills ,https://catalog.colostate.edu/search/?search=NR+323,
Geospatial,In-Person Courses / Structured Learning Paths,Advanced, Engineering Applications of GIS and GPS,Mazdak Arabi,CIVE 576,None,,,,,,,,,,,,,1,Y,Applying GIS and GPS skills to engineering,https://catalog.colostate.edu/search/?search=CIVE+576,
Geospatial,In-Person Courses / Structured Learning Paths,Advanced, Geographic Information Systems in Health,Josh Reyling ,PBHL 572,None,,,,,,,,,,,,,1,Y,Learning how to use GIS for public health applications,https://catalog.colostate.edu/search/?search=PBHL+572,
Geospatial,In-Person Courses / Structured Learning Paths,Intermediate, Landscape Graphics Studio,Scott Curry,HORT 231,None,,,,,,,,,,,,,1,Y,Learning how to create 3d landscape concepts using hands on and digital media techniques,https://catalog.colostate.edu/search/?search=HORT+231,
Geospatial,In-Person Courses / Structured Learning Paths,Intermediate, Mapping Diverse Perspectives in Conservation,Trent Pearce,FW 310,None,,,,,,,,,,,,,1,Y,Learning to use GIS techniques for collaborative conservation applications,https://catalog.colostate.edu/search/?search=FW+310,
Geospatial,In-Person Courses / Structured Learning Paths,Intermediate, Spatial Analysis with GIS,Steve Leisz,GR 420,None,,,,,,,,,,,,,1,Y,Learning how to use GIS for spatial analysis,https://catalog.colostate.edu/search/?search=GR+420,
Python,In-Person Courses / Structured Learning Paths,New to Programming,Culture and Coding: Python,Elisa Cundiff,CS 150B,None,,,,,,,,,,,,,2,Y,Introducing oneself to python concepts ,https://catalog.colostate.edu/search/?search=CS+150B,
R,In-Person Courses / Structured Learning Paths,Intermediate, R Programming for Research,Brooke Anderson ,ERHS 535,None,,,,,,,,,,,,,1,Y,Learning R and using it for research purposes ,https://catalog.colostate.edu/search/?search=ERHS+535,
R,In-Person Courses / Structured Learning Paths,Advanced, Wildlife Ecology Modeling,Brian Gerber ,FW 670,"STAR 511, Graduate",STAT 301 / STAT 307 / STAT 311 / STAT 315,STAT 301 / STAT 307 / STAT 311 / STAT 315,,,,,,,,,,,1,Y,Using R to Model and communicate Wildlfie ecology information,https://catalog.colostate.edu/search/?search=FW+670,
R,In-Person Courses / Structured Learning Paths,Intermediate, Watershed Measurements,Kira Puttenney,WR 417,"WR 204 , WR 416",ESS 210 / GEOL 110 and GEOL 120 / GEOL 122 / GEOL 124 / GEOL 150 / GR 210 / SOCR 240) and (CIVE 202 / STAT 201 / STAT 301 / STAT 307 / STAT 315) and PH 110 / PH 121 / PH 141,ESS 210 / GEOL 110 and GEOL 120 / GEOL 122 / GEOL 124 / GEOL 150 / GR 210 / SOCR 240) and (CIVE 202 / STAT 201 / STAT 301 / STAT 307 / STAT 315) and PH 110 / PH 121 / PH 141,,,,,,,,,,,1,Y,,https://catalog.colostate.edu/search/?search=WR+417,
R,Online Courses / In-person,Intermediate,Design and Data Analysis for Researchers I: R Software,"Matt Koslovsky, Ann Hess",STAR 511,"STAT 301 OR STAT 307 OR STAT 311 OR STAT 315, Graduate",,,,,,,,,,,,,1,,"Statistical methods for experimenters/researchers emphasizing design and analysis of experiments using R software.
",https://catalog.colostate.edu/search/?search=STAR+511,https://online.colostate.edu/courses/STAR/STAR511.dot
R,Online Courses / In-person,Intermediate,Regression Models for Researchers,Kirsten Eilertson,STAR 513,"STAT 511A ORSTAT 511A OR STAT 511B, Graduate",,,,,,,,,,,,,1,,"Model estimation and goodness of fit for linear models; confidence intervals for prediction and estimation; lack of fit, model diagnostics, transformations, model selection, influential observations, collinearity, interaction, polynomial regression, regression with dummy variables,weighted least squares, imputation. Does not apply to Master of Applied Statistics program.
",https://catalog.colostate.edu/search/?search=STAR+513,https://online.colostate.edu/courses/STAR/STAR513.dot
